px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
-23.4683	6.47888	4.70239	0.76546	-0.315054	-23.7544	6.53746	-23.3598	6.58559	3.59775	3.4324	0.0346535
-23.24	6.73134	4.9262	0.768768	-0.279196	-23.0099	6.86182	-23.1781	6.75533	3.67185	3.36041	0.0205128
-23.0415	6.86835	4.89808	0.732131	-0.321621	-22.7862	5.74143	-22.9928	6.92146	3.74376	3.28768	0.0346535
-22.8298	7.04933	4.96496	0.715153	-0.321396	-22.6991	7.063	-22.804	7.08393	3.8135	3.21431	0.0205128
-22.6138	7.1819	4.98314	0.659338	-0.435044	-22.418	6.76159	-22.6117	7.24273	3.88106	3.14038	0.0346535
-22.4328	7.32172	4.94361	0.63783	-0.435743	-22.5083	7.31524	-22.4161	7.39782	3.94647	3.06598	0.0205128
-22.1996	7.44974	5.03069	0.563651	-0.613493	-22.0543	7.85452	-22.2173	7.54917	4.00974	2.99118	0.0346535
-22.0162	7.60953	5.03445	0.552242	-0.585956	-22.1947	7.69478	-22.0154	7.69679	4.07087	2.91607	0.0205128
-21.8307	7.79265	5.00386	0.586645	-0.398893	-21.6178	9.0351	-21.8105	7.84064	4.12989	2.84074	0.0346535
-21.6256	7.9316	5.00215	0.568658	-0.396038	-21.6473	7.94	-21.6026	7.98072	4.18681	2.76526	0.0205128
-21.4341	8.06758	4.96788	0.560935	-0.362447	-21.8637	7.78661	-21.392	8.11703	4.24166	2.68971	0.0346535
-21.2207	8.07599	4.79077	0.486779	-0.451458	-21.0853	7.83229	-21.1787	8.24957	4.29447	2.61417	0.0205128
-21.0275	8.23851	4.75313	0.528769	-0.255794	-20.5503	9.28616	-20.9628	8.37833	4.34526	2.53871	0.0346535
-20.8541	8.39765	4.76465	0.54197	-0.215362	-21.0519	8.50983	-20.7444	8.50333	4.39406	2.46341	0.0205128
-20.6081	8.5023	4.86444	0.478776	-0.385605	-19.9265	9.40847	-20.5237	8.62457	4.4409	2.38835	0.0346535
-20.3535	8.65148	4.97616	0.470921	-0.365752	-20.21	8.68914	-20.3006	8.74206	4.48582	2.31358	0.0205128
-20.1528	8.7902	4.92909	0.495864	-0.233393	-20.2277	8.8532	-20.0753	8.85583	4.52884	2.23919	0.0346535
-19.9623	8.88384	4.85859	0.477968	-0.244393	-20.0633	8.86724	-19.848	8.96589	4.57001	2.16524	0.0205128
-19.7611	9.00443	4.82179	0.488022	-0.172531	-19.9264	8.78179	-19.6186	9.07227	4.60937	2.09179	0.0346535
